"iter","E21","E11","E22","E12"
11533,-436.585,-1705.38,-294.984,-1133.1
11534,-364.963,-1759.52,-656.815,-1273.83
11535,-344.654,-1763.32,-642.981,-1317.15
11536,-347.511,-1805.91,-565.802,-1300.64
11537,-405.086,-1843.3,-733.951,-1163.86
11538,-359.289,-1851.95,-701.935,-1183.01
11539,-307.856,-1658.15,-683.821,-1347.35
11540,-307.812,-1970.51,-684.229,-1247.73
11541,-180.053,-1668.48,-699.693,-1325.79
11542,-367.865,-1845.64,-773.891,-1121.49
11543,-600.089,-1760.06,-688.933,-1320.69
11544,-776.208,-1853.08,-474.545,-1309.52
11545,-894.325,-1930.06,-520.264,-1213.56
11546,-1168.89,-1710.65,-714.188,-1197.08
11547,-59.5756,-1700.86,-715.574,-1322.4
11548,-877.489,-1962.02,-632.761,-1282.03
11549,-967.589,-1871.64,-593.117,-1461.93
11550,-938.117,-1635.46,-518.575,-1132.81
11551,-796.085,-1873.25,-541.149,-1316.08
11552,-828.209,-1731.15,-541.672,-1265.79
11553,-284.579,-1744.23,-706.28,-1104.39
11554,-422.255,-1932.21,-699.711,-1195.65
