# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Noir Begin;Noir End;S4;S5;S6
11333;365,892484134803;554,046934632781;365,892484134803;445,133050006087;554,046934632781
11334;389,545653497909;624,188246881636;389,545653497909;452,859155630889;624,188246881636
11335;379,867174820822;532,059958384784;379,867174820822;415,115205224989;532,059958384784
11336;359,773021203275;583,614128903619;359,773021203275;424,706716135662;583,614128903619
11337;362,428696543498;611,693295701306;362,428696543498;422,346923456254;611,693295701306
11338;360,717678847651;683,40370411732;360,717678847651;426,711578601238;683,40370411732
11339;384,705841735374;626,490889904644;384,705841735374;389,87033298246;626,490889904644
11340;379,201887421262;571,393466923808;379,201887421262;386,095416380047;571,393466923808
11341;324,624012802137;567,21302795448;324,624012802137;446,625572870434;567,21302795448
11342;323,1544108576;677,018285806742;323,1544108576;386,555104565554;677,018285806742
11343;317,097521358776;629,205845358277;317,097521358776;470,233029669278;629,205845358277
11344;343,609292164851;671,759887761619;343,609292164851;396,26083045453;671,759887761619
11345;344,068991127901;589,788408239388;344,068991127901;465,305221944147;589,788408239388
11346;351,25424536567;651,239080514084;351,25424536567;451,244268276292;651,239080514084
11347;383,430739270193;634,465724621549;383,430739270193;388,68081321556;634,465724621549
11348;355,781102847777;594,031088774759;355,781102847777;403,322260013831;594,031088774759
11349;361,752781542405;606,332318511635;361,752781542405;391,775196746437;606,332318511635
11350;349,914938923112;648,877690936622;349,914938923112;376,089208997861;648,877690936622
11351;337,938131557454;687,309359097695;337,938131557454;412,312739841562;687,309359097695
11352;364,212671550254;570,303576083204;364,212671550254;415,813765527115;570,303576083204
11353;326,672969634004;550,986357598646;326,672969634004;428,769159723179;550,986357598646
11354;360,122748161965;621,662936594871;360,122748161965;441,593692118571;621,662936594871
11355;353,66785772562;707,417136539773;353,66785772562;412,490044336083;707,417136539773
11356;326,947017478989;529,946076474935;326,947017478989;392,388988399814;529,946076474935
11357;370,478851482138;683,002617450284;370,478851482138;512,938771167396;683,002617450284
11358;385,956621672956;607,3849087531;385,956621672956;413,901857541763;607,3849087531
11359;402,390394970835;562,500268059047;402,390394970835;451,826912698161;562,500268059047
